epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,677.819,0.53982,1.29868,0.73723,1.06164,0,0.78011,0.80617,0.81979,0.62762,0.73002,0.75189,0.72558,0.49362,0.45978,1.16009,0.56267,0.95732,0,3.33105e-05,3.33105e-05,0.0667228
2,1324.44,0.50591,1.13236,0.65054,1.02534,0,0.79145,0.82473,0.836,0.63162,0.73996,0.7567,0.73893,0.53983,0.48582,0.71791,0.53025,0.99304,0,6.65787e-05,6.65787e-05,0.0334228
3,1969.01,0.49072,1.05572,0.61168,1.00538,0,0.78339,0.82072,0.83729,0.63987,0.7362,0.7741,0.75696,0.55057,0.46136,0.67081,0.50768,0.96595,0,9.95869e-05,9.95869e-05,0.000122434
4,2611.85,0.4811,1.01801,0.59064,0.9997,0,0.80522,0.81784,0.84618,0.65047,0.75356,0.76901,0.75681,0.54896,0.44811,0.66465,0.49532,0.93324,0,9.91232e-05,9.91232e-05,9.91232e-05
5,3255.98,0.48682,1.01848,0.59217,1.00152,0,0.787,0.82513,0.83864,0.63833,0.73547,0.77154,0.7526,0.54756,0.45328,0.69843,0.49965,0.94655,0,9.84449e-05,9.84449e-05,9.84449e-05
6,3900.92,0.48347,1.00131,0.57641,0.99377,0,0.81872,0.83739,0.85026,0.64947,0.76927,0.79457,0.76315,0.55067,0.45729,0.63387,0.48673,0.95118,0,9.75773e-05,9.75773e-05,9.75773e-05
7,4542.78,0.47215,0.96165,0.55872,0.98588,0,0.79599,0.8325,0.8466,0.6522,0.73991,0.77484,0.75572,0.54619,0.44158,0.64398,0.48621,0.93247,0,9.65239e-05,9.65239e-05,9.65239e-05
8,5186.08,0.47619,0.96945,0.5594,0.99176,0,0.79146,0.8298,0.84327,0.64853,0.73431,0.77614,0.75174,0.54641,0.44425,0.66059,0.49581,0.94109,0,9.52889e-05,9.52889e-05,9.52889e-05
9,5829.4,0.47124,0.95194,0.54884,0.98602,0,0.79314,0.83146,0.84191,0.6523,0.75297,0.78859,0.76104,0.55199,0.44377,0.63156,0.48716,0.93059,0,9.38772e-05,9.38772e-05,9.38772e-05
10,6473.1,0.46464,0.94475,0.54215,0.97811,0,0.797,0.83365,0.84633,0.65455,0.74771,0.77878,0.75375,0.54672,0.43478,0.61691,0.47958,0.92022,0,9.22942e-05,9.22942e-05,9.22942e-05
11,7115.96,0.46338,0.92066,0.53003,0.97372,0,0.83039,0.82973,0.85108,0.65937,0.77646,0.77431,0.75728,0.55374,0.43304,0.65472,0.46846,0.92048,0,9.05463e-05,9.05463e-05,9.05463e-05
12,7759.2,0.46228,0.91901,0.52444,0.97056,0,0.81272,0.84775,0.85121,0.6608,0.76508,0.79711,0.76229,0.55475,0.43407,0.63554,0.46675,0.91867,0,8.86404e-05,8.86404e-05,8.86404e-05
13,8401.77,0.4568,0.90867,0.52129,0.97047,0,0.80945,0.83132,0.85694,0.65946,0.76429,0.78145,0.77263,0.56376,0.44088,0.61954,0.46554,0.9295,0,8.65839e-05,8.65839e-05,8.65839e-05
14,9044.12,0.4536,0.88899,0.50723,0.96808,0,0.82729,0.84143,0.85601,0.66663,0.77651,0.79004,0.76984,0.56459,0.43929,0.63366,0.45513,0.92243,0,8.43851e-05,8.43851e-05,8.43851e-05
15,9686.93,0.45199,0.88789,0.501,0.96267,0,0.82429,0.84196,0.84823,0.65997,0.77026,0.78498,0.7508,0.55032,0.42464,0.58993,0.45864,0.91146,0,8.20525e-05,8.20525e-05,8.20525e-05
16,10328.6,0.44974,0.88687,0.49255,0.95972,0,0.84006,0.84464,0.86165,0.66801,0.78969,0.79087,0.77493,0.5679,0.43039,0.62242,0.44357,0.90894,0,7.95954e-05,7.95954e-05,7.95954e-05
17,10969.8,0.44369,0.86429,0.48713,0.958,0,0.81886,0.83999,0.85142,0.66602,0.76872,0.77952,0.76049,0.5587,0.4234,0.60565,0.46029,0.91021,0,7.70234e-05,7.70234e-05,7.70234e-05
18,11612.7,0.44095,0.85442,0.47779,0.95187,0,0.82369,0.85006,0.85999,0.67054,0.764,0.79289,0.76892,0.56773,0.42744,0.59484,0.4446,0.919,0,7.43468e-05,7.43468e-05,7.43468e-05
19,12255.3,0.44121,0.85782,0.47939,0.95292,0,0.82192,0.84662,0.85085,0.66348,0.77281,0.79476,0.76343,0.56252,0.43039,0.58755,0.45125,0.91559,0,7.15761e-05,7.15761e-05,7.15761e-05
